cou,sex,year,value,fillKey
ESP,WOMEN,2013,53.9,50-60
LVA,WOMEN,2013,54.0,50-60
PRT,WOMEN,2013,54.1,50-60
DEU,WOMEN,2013,54.6,50-60
AUT,WOMEN,2013,55.3,50-60
GBR,WOMEN,2013,57.2,50-60
DNK,WOMEN,2013,58.6,50-60
NLD,WOMEN,2013,59.4,50-60
CHE,WOMEN,2013,61.9,60-70
FIN,WOMEN,2013,63.4,60-70
EST,WOMEN,2013,63.9,60-70
NOR,WOMEN,2013,68.4,60-70
SWE,WOMEN,2013,68.7,60-70
ISL,WOMEN,2013,78.5,70-80
TUR,WOMEN,2014,30.3,30-40
ITA,WOMEN,2014,40.5,40-50
GRC,WOMEN,2014,44.1,40-50
BEL,WOMEN,2014,48.1,40-50
POL,WOMEN,2014,48.5,40-50
CZE,WOMEN,2014,50.9,50-60
SVK,WOMEN,2014,51.1,50-60
FRA,WOMEN,2014,51.8,50-60
HUN,WOMEN,2014,52.1,50-60
SVN,WOMEN,2014,52.2,50-60
IRL,WOMEN,2014,52.6,50-60
LVA,WOMEN,2014,53.4,50-60
LUX,WOMEN,2014,53.4,50-60
ESP,WOMEN,2014,53.7,50-60
PRT,WOMEN,2014,53.8,50-60
LTU,WOMEN,2014,53.9,50-60
DEU,WOMEN,2014,54.8,50-60
AUT,WOMEN,2014,55.3,50-60
GBR,WOMEN,2014,57.6,50-60
DNK,WOMEN,2014,58.1,50-60
NLD,WOMEN,2014,58.5,50-60
CHE,WOMEN,2014,62.6,60-70
EST,WOMEN,2014,63.4,60-70
FIN,WOMEN,2014,63.4,60-70
NOR,WOMEN,2014,68.3,60-70
SWE,WOMEN,2014,69.1,60-70
ISL,WOMEN,2014,78.2,70-80
