cou,sex,year,value,fillKey
DEU,WOMEN,2008,52.5,50-60
DEU,WOMEN,2009,52.9,50-60
DEU,WOMEN,2010,53.2,50-60
DEU,WOMEN,2011,54.0,50-60
DEU,WOMEN,2012,54.0,50-60
DEU,WOMEN,2013,54.6,50-60
DEU,WOMEN,2014,54.8,50-60
DNK,WOMEN,2000,60.1,60-70
DNK,WOMEN,2001,60.5,60-70
DNK,WOMEN,2002,60.1,60-70
DNK,WOMEN,2003,59.8,50-60
DNK,WOMEN,2004,60.7,60-70
DNK,WOMEN,2005,60.4,60-70
DNK,WOMEN,2006,60.9,60-70
DNK,WOMEN,2007,60.7,60-70
DNK,WOMEN,2008,60.9,60-70
DNK,WOMEN,2009,60.6,60-70
DNK,WOMEN,2010,59.8,50-60
DNK,WOMEN,2011,59.6,50-60
DNK,WOMEN,2012,59.1,50-60
DNK,WOMEN,2013,58.6,50-60
DNK,WOMEN,2014,58.1,50-60
ESP,WOMEN,2000,41.3,40-50
ESP,WOMEN,2001,40.3,40-50
ESP,WOMEN,2002,42.7,40-50
ESP,WOMEN,2003,44.4,40-50
ESP,WOMEN,2004,45.7,40-50
ESP,WOMEN,2005,47.0,40-50
ESP,WOMEN,2006,48.5,40-50
ESP,WOMEN,2007,49.5,40-50
ESP,WOMEN,2008,50.9,50-60
ESP,WOMEN,2009,52.0,50-60
ESP,WOMEN,2010,52.7,50-60
ESP,WOMEN,2011,53.4,50-60
ESP,WOMEN,2012,54.0,50-60
ESP,WOMEN,2013,53.9,50-60
ESP,WOMEN,2014,53.7,50-60
EST,WOMEN,2000,58.3,50-60
EST,WOMEN,2001,58.1,50-60
EST,WOMEN,2002,57.4,50-60
EST,WOMEN,2003,58.6,50-60
EST,WOMEN,2004,59.0,50-60
EST,WOMEN,2005,59.8,50-60
EST,WOMEN,2006,61.4,60-70
EST,WOMEN,2007,60.8,60-70
EST,WOMEN,2008,62.0,60-70
EST,WOMEN,2009,62.1,60-70
EST,WOMEN,2010,62.6,60-70
EST,WOMEN,2011,63.6,60-70
EST,WOMEN,2012,63.6,60-70
EST,WOMEN,2013,63.9,60-70
EST,WOMEN,2014,63.4,60-70
FIN,WOMEN,2000,63.3,60-70
FIN,WOMEN,2001,63.6,60-70
FIN,WOMEN,2002,64.0,60-70
FIN,WOMEN,2003,63.4,60-70
FIN,WOMEN,2004,63.3,60-70
FIN,WOMEN,2005,64.2,60-70
FIN,WOMEN,2006,64.6,60-70
FIN,WOMEN,2007,65.1,60-70
FIN,WOMEN,2008,65.2,60-70
FIN,WOMEN,2009,64.7,60-70
FIN,WOMEN,2010,63.7,60-70
FIN,WOMEN,2011,63.6,60-70
FIN,WOMEN,2012,63.8,60-70
FIN,WOMEN,2013,63.4,60-70
FIN,WOMEN,2014,63.4,60-70
