COU,SEX,Time,Value
LVA,MEN,2006,"67,6"
CZE,MEN,2012,"67,7"
IRL,MEN,2014,"67,7"
PRT,MEN,2009,"67,7"
SVK,MEN,2007,"67,7"
IRL,MEN,2012,"67,8"
ESP,MEN,2003,"67,9"
EST,MEN,2002,"67,9"
IRL,MEN,2013,"67,9"
CZE,MEN,2010,68
SVK,MEN,2011,68
CZE,MEN,2013,"68,1"
EST,MEN,2004,"68,1"
SVK,MEN,2006,"68,1"
SVK,MEN,2009,"68,1"
SVK,MEN,2013,"68,1"
CZE,MEN,2008,"68,2"
CZE,MEN,2014,"68,2"
ESP,MEN,2004,"68,2"
ESP,MEN,2010,"68,2"
IRL,MEN,2011,"68,2"
SVK,MEN,2000,"68,2"
SVK,MEN,2014,"68,2"
CZE,MEN,2007,"68,3"
CZE,MEN,2009,"68,3"
FIN,MEN,2014,"68,3"
SVK,MEN,2002,"68,3"
SVK,MEN,2003,"68,3"
SVK,MEN,2004,"68,3"
SVK,MEN,2005,"68,3"
SVK,MEN,2008,"68,3"
AUT,MEN,2001,"68,4"
CZE,MEN,2004,"68,4"
DNK,MEN,2011,"68,4"
SVK,MEN,2012,"68,4"
AUT,MEN,2002,"68,5"
AUT,MEN,2003,"68,5"
CZE,MEN,2006,"68,5"
SVK,MEN,2010,"68,5"
ESP,MEN,2009,"68,6"
EST,MEN,2003,"68,6"
FIN,MEN,2009,"68,6"
CZE,MEN,2003,"68,7"
CZE,MEN,2005,"68,7"
AUT,MEN,2000,"68,9"
PRT,MEN,2008,"68,9"
SVK,MEN,2001,"68,9"
ESP,MEN,2005,69
IRL,MEN,2010,69
DNK,MEN,2010,"69,1"
FIN,MEN,2012,"69,1"
LVA,MEN,2007,"69,1"
PRT,MEN,2005,"69,1"
ESP,MEN,2006,"69,2"
GBR,MEN,2014,"69,2"
PRT,MEN,2007,"69,2"
GBR,MEN,2013,"69,3"
PRT,MEN,2006,"69,3"
CZE,MEN,2001,"69,4"
CZE,MEN,2002,"69,4"
ESP,MEN,2007,"69,4"
EST,MEN,2001,"69,4"
FIN,MEN,2010,"69,4"
PRT,MEN,2004,"69,4"
ESP,MEN,2008,"69,5"
FIN,MEN,2005,"69,5"
FIN,MEN,2004,"69,6"
GBR,MEN,2010,"69,6"
GBR,MEN,2011,"69,6"
LVA,MEN,2008,"69,6"
FIN,MEN,2011,"69,7"
GBR,MEN,2012,"69,7"
CZE,MEN,2000,"69,8"
PRT,MEN,2000,"69,8"
TUR,MEN,2007,"69,8"
PRT,MEN,2003,"69,9"
TUR,MEN,2006,"69,9"
FIN,MEN,2003,"70,1"
TUR,MEN,2008,"70,1"
DNK,MEN,2009,"70,2"
FIN,MEN,2002,"70,2"
FIN,MEN,2006,"70,2"
GBR,MEN,2009,"70,2"
PRT,MEN,2001,"70,2"
FIN,MEN,2007,"70,3"
GBR,MEN,2005,"70,3"
TUR,MEN,2004,"70,3"
GBR,MEN,2001,"70,4"
GBR,MEN,2004,"70,4"
TUR,MEN,2003,"70,4"
EST,MEN,2000,"70,5"
FIN,MEN,2000,"70,5"
GBR,MEN,2002,"70,5"
NLD,MEN,2014,"70,5"
PRT,MEN,2002,"70,5"
TUR,MEN,2009,"70,5"
GBR,MEN,2007,"70,6"
TUR,MEN,2005,"70,6"
FIN,MEN,2001,"70,7"
GBR,MEN,2006,"70,7"
GBR,MEN,2008,"70,7"
EST,MEN,2010,"70,8"
NLD,MEN,2011,"70,8"
TUR,MEN,2010,"70,8"
DNK,MEN,2007,"70,9"
EST,MEN,2006,"70,9"
FIN,MEN,2008,"70,9"
GBR,MEN,2003,"70,9"
IRL,MEN,2003,"70,9"
IRL,MEN,2002,71
TUR,MEN,2012,71
DNK,MEN,2002,"71,1"
DNK,MEN,2005,"71,1"
DNK,MEN,2006,"71,1"
GBR,MEN,2000,"71,1"
IRL,MEN,2009,"71,1"
NLD,MEN,2012,"71,1"
NLD,MEN,2013,"71,1"
DNK,MEN,2000,"71,2"
DNK,MEN,2008,"71,2"
TUR,MEN,2014,"71,3"
DNK,MEN,2003,"71,4"
NLD,MEN,2006,"71,4"
IRL,MEN,2004,"71,5"
NLD,MEN,2010,"71,5"
TUR,MEN,2013,"71,5"
DNK,MEN,2001,"71,6"
DNK,MEN,2004,"71,6"
TUR,MEN,2002,"71,6"
EST,MEN,2009,"71,7"
IRL,MEN,2000,"71,7"
IRL,MEN,2001,"71,7"
NLD,MEN,2005,"71,7"
TUR,MEN,2011,"71,7"
EST,MEN,2007,"71,8"
NLD,MEN,2004,"71,8"
NLD,MEN,2003,72
EST,MEN,2011,"72,2"
NLD,MEN,2007,"72,2"
EST,MEN,2008,"72,4"
IRL,MEN,2005,"72,5"
NLD,MEN,2001,"72,5"
NLD,MEN,2009,"72,5"
NLD,MEN,2000,"72,7"
EST,MEN,2012,"72,8"
NLD,MEN,2008,"72,8"
NLD,MEN,2002,"72,9"
TUR,MEN,2001,"72,9"
EST,MEN,2013,73
IRL,MEN,2008,"73,1"
IRL,MEN,2006,"73,4"
SWE,MEN,2009,"73,5"
NOR,MEN,2014,"73,6"
SWE,MEN,2004,"73,6"
EST,MEN,2014,"73,7"
IRL,MEN,2007,"73,7"
TUR,MEN,2000,"73,7"
SWE,MEN,2010,"73,8"
NOR,MEN,2013,"73,9"
SWE,MEN,2003,"73,9"
SWE,MEN,2007,"73,9"
SWE,MEN,2011,"73,9"
SWE,MEN,2012,"73,9"
NOR,MEN,2011,"74,1"
SWE,MEN,2008,"74,1"
SWE,MEN,2013,"74,2"
SWE,MEN,2000,"74,3"
SWE,MEN,2001,"74,3"
SWE,MEN,2002,"74,3"
NOR,MEN,2012,"74,4"
SWE,MEN,2014,"74,7"
CHE,MEN,2014,75
NOR,MEN,2010,75
CHE,MEN,2005,"75,1"
CHE,MEN,2013,"75,1"
SWE,MEN,2006,"75,1"
CHE,MEN,2009,"75,2"
CHE,MEN,2010,"75,2"
SWE,MEN,2005,"75,2"
CHE,MEN,2006,"75,4"
CHE,MEN,2008,"75,5"
CHE,MEN,2011,"75,5"
CHE,MEN,2012,"75,5"
NOR,MEN,2006,"75,6"
NOR,MEN,2009,"75,6"
CHE,MEN,2007,"75,8"
CHE,MEN,2004,76
NOR,MEN,2007,76
NOR,MEN,2005,"76,2"
NOR,MEN,2004,"76,4"
NOR,MEN,2003,"76,6"
CHE,MEN,2002,"76,7"
CHE,MEN,2003,"76,8"
NOR,MEN,2008,"77,1"
NOR,MEN,2002,"77,3"
CHE,MEN,2001,"77,4"
NOR,MEN,2001,"77,7"
CHE,MEN,2000,"77,8"
NOR,MEN,2000,78
ISL,MEN,2012,"83,1"
ISL,MEN,2011,"83,7"
ISL,MEN,2013,"84,2"
ISL,MEN,2010,"84,4"
ISL,MEN,2009,"84,7"
ISL,MEN,2014,"84,7"
ISL,MEN,2004,85
ISL,MEN,2002,"85,5"
ISL,MEN,2003,"85,9"
ISL,MEN,2005,86
ISL,MEN,2000,"86,2"
ISL,MEN,2001,"86,5"
ISL,MEN,2008,"87,1"
ISL,MEN,2007,"87,5"
ISL,MEN,2006,"87,8"
