cou,sex,year,men,fillKey
GBR,MEN,2007,70.6,70-80
GBR,MEN,2008,70.7,70-80
GBR,MEN,2009,70.2,70-80
GBR,MEN,2010,69.6,60-70
GBR,MEN,2011,69.6,60-70
GBR,MEN,2012,69.7,60-70
GBR,MEN,2013,69.3,60-70
GBR,MEN,2014,69.2,60-70
GRC,MEN,2000,64.7,60-70
GRC,MEN,2001,64.1,60-70
GRC,MEN,2002,64.1,60-70
GRC,MEN,2003,64.3,60-70
GRC,MEN,2004,64.4,60-70
GRC,MEN,2005,64.3,60-70
GRC,MEN,2006,64.4,60-70
GRC,MEN,2007,64.2,60-70
GRC,MEN,2008,64.2,60-70
GRC,MEN,2009,64.0,60-70
GRC,MEN,2010,63.6,60-70
GRC,MEN,2011,62.2,60-70
GRC,MEN,2012,61.3,60-70
GRC,MEN,2013,60.9,60-70
GRC,MEN,2014,60.1,60-70
HUN,MEN,2000,61.1,60-70
HUN,MEN,2001,60.9,60-70
HUN,MEN,2002,60.8,60-70
HUN,MEN,2003,61.4,60-70
HUN,MEN,2004,61.2,60-70
HUN,MEN,2005,61.7,60-70
HUN,MEN,2006,62.5,60-70
HUN,MEN,2007,62.3,60-70
HUN,MEN,2008,61.6,60-70
HUN,MEN,2009,61.4,60-70
HUN,MEN,2010,61.4,60-70
HUN,MEN,2011,61.9,60-70
HUN,MEN,2012,62.9,60-70
HUN,MEN,2013,63.9,60-70
HUN,MEN,2014,65.7,60-70
IRL,MEN,2000,71.7,70-80
IRL,MEN,2001,71.7,70-80
IRL,MEN,2002,71.0,70-80
IRL,MEN,2003,70.9,70-80
IRL,MEN,2004,71.5,70-80
IRL,MEN,2005,72.5,70-80
IRL,MEN,2006,73.4,70-80
IRL,MEN,2007,73.7,70-80
IRL,MEN,2008,73.1,70-80
IRL,MEN,2009,71.1,70-80
IRL,MEN,2010,69.0,60-70
IRL,MEN,2011,68.2,60-70
IRL,MEN,2012,67.8,60-70
IRL,MEN,2013,67.9,60-70
IRL,MEN,2014,67.7,60-70
ISL,MEN,2000,86.2,80-90
ISL,MEN,2001,86.5,80-90
ISL,MEN,2002,85.5,80-90
ISL,MEN,2003,85.9,80-90
ISL,MEN,2004,85.0,80-90
ISL,MEN,2005,86.0,80-90
ISL,MEN,2006,87.8,80-90
ISL,MEN,2007,87.5,80-90
ISL,MEN,2008,87.1,80-90
ISL,MEN,2009,84.7,80-90
ISL,MEN,2010,84.4,80-90
ISL,MEN,2011,83.7,80-90
ISL,MEN,2012,83.1,80-90
ISL,MEN,2013,84.2,80-90
ISL,MEN,2014,84.7,80-90
ITA,MEN,2000,62.2,60-70
ITA,MEN,2001,62.0,60-70
ITA,MEN,2002,62.0,60-70
ITA,MEN,2003,62.3,60-70
ITA,MEN,2004,61.3,60-70
ITA,MEN,2005,60.9,60-70
ITA,MEN,2006,60.8,60-70
ITA,MEN,2007,60.4,60-70
ITA,MEN,2008,61.1,60-70
ITA,MEN,2009,60.3,60-70
ITA,MEN,2010,59.8,50-60
ITA,MEN,2011,59.4,50-60
ITA,MEN,2012,59.9,50-60
ITA,MEN,2013,59.3,50-60
ITA,MEN,2014,59.4,50-60
LTU,MEN,2000,66.0,60-70
LTU,MEN,2001,65.1,60-70
LTU,MEN,2002,64.8,60-70
LTU,MEN,2003,64.6,60-70
LTU,MEN,2004,63.5,60-70
LTU,MEN,2005,62.9,60-70
LTU,MEN,2006,61.3,60-70
LTU,MEN,2007,62.0,60-70
LTU,MEN,2008,62.2,60-70
LTU,MEN,2009,62.0,60-70
LTU,MEN,2010,62.0,60-70
