COU,SEX,Time,Value
TUR,WOMEN,2006,23.6
AUT,WOMEN,2007,52.8
BEL,WOMEN,2007,46.5
CHE,WOMEN,2007,59.9
CZE,WOMEN,2007,49.8
DEU,WOMEN,2007,52.4
DNK,WOMEN,2007,60.7
ESP,WOMEN,2007,49.5
EST,WOMEN,2007,60.8
FIN,WOMEN,2007,65.1
FRA,WOMEN,2007,51.1
GBR,WOMEN,2007,56.2
GRC,WOMEN,2007,42.4
HUN,WOMEN,2007,47.8
IRL,WOMEN,2007,54.7
ISL,WOMEN,2007,78.6
ITA,WOMEN,2007,37.9
LTU,WOMEN,2007,50.2
LUX,WOMEN,2007,50.4
LVA,WOMEN,2007,53.1
NLD,WOMEN,2007,57.6
NOR,WOMEN,2007,69.5
POL,WOMEN,2007,46.3
PRT,WOMEN,2007,56.0
SVK,WOMEN,2007,50.5
SVN,WOMEN,2007,53.3
SWE,WOMEN,2007,68.3
TUR,WOMEN,2007,23.6
AUT,WOMEN,2008,53.4
BEL,WOMEN,2008,46.9
CHE,WOMEN,2008,61.3
CZE,WOMEN,2008,49.3
DEU,WOMEN,2008,52.5
DNK,WOMEN,2008,60.9
ESP,WOMEN,2008,50.9
EST,WOMEN,2008,62.0
FIN,WOMEN,2008,65.2
FRA,WOMEN,2008,51.3
GBR,WOMEN,2008,56.5
GRC,WOMEN,2008,42.4
HUN,WOMEN,2008,47.6
IRL,WOMEN,2008,54.5
ISL,WOMEN,2008,77.7
ITA,WOMEN,2008,39.1
LTU,WOMEN,2008,50.5
LUX,WOMEN,2008,48.1
LVA,WOMEN,2008,55.0
NLD,WOMEN,2008,58.4
NOR,WOMEN,2008,70.7
POL,WOMEN,2008,46.6
PRT,WOMEN,2008,55.8
SVK,WOMEN,2008,51.1
SVN,WOMEN,2008,53.5
SWE,WOMEN,2008,68.3
TUR,WOMEN,2008,24.5
AUT,WOMEN,2009,54.0
BEL,WOMEN,2009,47.0
CHE,WOMEN,2009,61.6
CZE,WOMEN,2009,49.5
DEU,WOMEN,2009,52.9
DNK,WOMEN,2009,60.6
ESP,WOMEN,2009,52.0
EST,WOMEN,2009,62.1
FIN,WOMEN,2009,64.7
FRA,WOMEN,2009,51.7
GBR,WOMEN,2009,56.6
GRC,WOMEN,2009,43.5
HUN,WOMEN,2009,47.7
IRL,WOMEN,2009,54.0
ISL,WOMEN,2009,77.1
ITA,WOMEN,2009,38.6
LTU,WOMEN,2009,52.0
LUX,WOMEN,2009,49.9
LVA,WOMEN,2009,54.5
NLD,WOMEN,2009,58.9
NOR,WOMEN,2009,69.8
POL,WOMEN,2009,47.3
PRT,WOMEN,2009,55.6
SVK,WOMEN,2009,50.3
SVN,WOMEN,2009,53.6
SWE,WOMEN,2009,67.6
TUR,WOMEN,2009,26.0
AUT,WOMEN,2010,54.2
BEL,WOMEN,2010,47.7
CHE,WOMEN,2010,60.8
CZE,WOMEN,2010,49.3
DEU,WOMEN,2010,53.2
DNK,WOMEN,2010,59.8
ESP,WOMEN,2010,52.7
EST,WOMEN,2010,62.6
FIN,WOMEN,2010,63.7
FRA,WOMEN,2010,51.7
GBR,WOMEN,2010,56.6
GRC,WOMEN,2010,44.1
HUN,WOMEN,2010,48.8
IRL,WOMEN,2010,53.4
ISL,WOMEN,2010,77.6
ITA,WOMEN,2010,38.6
LTU,WOMEN,2010,52.5
LUX,WOMEN,2010,49.8
LVA,WOMEN,2010,53.9
NLD,WOMEN,2010,58.9
NOR,WOMEN,2010,68.7
POL,WOMEN,2010,47.6
PRT,WOMEN,2010,55.9
SVK,WOMEN,2010,51.8
SVN,WOMEN,2010,53.3
SWE,WOMEN,2010,67.1
TUR,WOMEN,2010,27.6
AUT,WOMEN,2011,54.5
BEL,WOMEN,2011,47.0
CHE,WOMEN,2011,60.8
CZE,WOMEN,2011,49.5
DEU,WOMEN,2011,54.0
DNK,WOMEN,2011,59.6
ESP,WOMEN,2011,53.4
EST,WOMEN,2011,63.6
FIN,WOMEN,2011,63.6
FRA,WOMEN,2011,51.6
GBR,WOMEN,2011,56.7
GRC,WOMEN,2011,43.8
HUN,WOMEN,2011,49.1
IRL,WOMEN,2011,53.2
ISL,WOMEN,2011,77.0
ITA,WOMEN,2011,38.8
LTU,WOMEN,2011,52.7
LUX,WOMEN,2011,50.3
LVA,WOMEN,2011,53.1
NLD,WOMEN,2011,58.9
NOR,WOMEN,2011,68.7
POL,WOMEN,2011,47.8
PRT,WOMEN,2011,54.6
SVK,WOMEN,2011,50.1
SVN,WOMEN,2011,52.3
SWE,WOMEN,2011,67.9
TUR,WOMEN,2011,28.8
AUT,WOMEN,2012,55.0
BEL,WOMEN,2012,47.1
CHE,WOMEN,2012,61.2
CZE,WOMEN,2012,50.0
DEU,WOMEN,2012,54.0
DNK,WOMEN,2012,59.1
ESP,WOMEN,2012,54.0
EST,WOMEN,2012,63.6
FIN,WOMEN,2012,63.8
FRA,WOMEN,2012,51.8
GBR,WOMEN,2012,56.8
GRC,WOMEN,2012,44.0
HUN,WOMEN,2012,50.2
IRL,WOMEN,2012,52.8
ISL,WOMEN,2012,77.7
ITA,WOMEN,2012,40.1
LTU,WOMEN,2012,53.2
LUX,WOMEN,2012,51.9
LVA,WOMEN,2012,54.3
NLD,WOMEN,2012,59.5
NOR,WOMEN,2012,68.6
POL,WOMEN,2012,48.1
PRT,WOMEN,2012,54.7
SVK,WOMEN,2012,50.7
SVN,WOMEN,2012,52.2
SWE,WOMEN,2012,68.3
TUR,WOMEN,2012,29.5
AUT,WOMEN,2013,55.3
BEL,WOMEN,2013,47.8
CHE,WOMEN,2013,61.9
CZE,WOMEN,2013,50.9
DEU,WOMEN,2013,54.6
DNK,WOMEN,2013,58.6
ESP,WOMEN,2013,53.9
EST,WOMEN,2013,63.9
FIN,WOMEN,2013,63.4
FRA,WOMEN,2013,51.8
GBR,WOMEN,2013,57.2
GRC,WOMEN,2013,43.8
HUN,WOMEN,2013,50.5
IRL,WOMEN,2013,53.4
ISL,WOMEN,2013,78.5
ITA,WOMEN,2013,40.1
