Country Code,Country Name,PopGrowth 2015
NAC,North America,0.79534616920381
NAM,Namibia,2.30267648423617
NCL,New Caledonia,1.84848146741032
NER,Niger,4.02686893114338
NGA,Nigeria,2.62804435321791
NIC,Nicaragua,1.12632324522208
NLD,Netherlands,0.423129431870569
NOR,Norway,1.1359481678125
NPL,Nepal,1.19594095694228
NRU,Nauru,0.451025374832155
NZL,New Zealand,1.88904512495193
OED,OECD members,0.626923814113042
OMN,Oman,5.83403007342777
OSS,Other small states,1.80158572376028
PAK,Pakistan,2.07542637608567
PAN,Panama,1.58034737286553
PER,Peru,1.29439875527159
PHL,Philippines,1.56200128942332
PLW,Palau,0.915359793226928
PNG,Papua New Guinea,2.06524682032879
POL,Poland,-0.0322083993822133
PRE,Pre-demographic dividend,2.89452427118164
PRI,Puerto Rico,-1.73225600549074
PRK,"Korea, Dem. People’s Rep.",0.512315384705381
PRT,Portugal,-0.505203315904984
PRY,Paraguay,1.31304731972164
PSS,Pacific island small states,1.18690964931119
PST,Post-demographic dividend,0.439050831194464
PYF,French Polynesia,1.06054731963556
QAT,Qatar,2.87217241822787
ROU,Romania,-0.385442669322606
RUS,Russian Federation,0.192585836711792
RWA,Rwanda,2.33655827586481
SAS,South Asia,1.33682035325423
SAU,Saudi Arabia,2.09477238316221
SDN,Sudan,2.22313928334425
SEN,Senegal,3.06525981531419
SGP,Singapore,1.18637693749822
SLB,Solomon Islands,1.97624972563395
SLE,Sierra Leone,2.1546614131996
SLV,El Salvador,0.30859194155559
SMR,San Marino,0.586974671912263
SOM,Somalia,2.53042496262022
SRB,Serbia,-0.454416442333512
SSA,Sub-Saharan Africa (excluding high income),2.73099895212825
SSD,South Sudan,3.53529926683402
SSF,Sub-Saharan Africa,2.73089671877655
SST,Small states,1.52272364345652
STP,Sao Tome and Principe,2.1249266415864
SUR,Suriname,0.874385786628693
SVK,Slovak Republic,0.0996246496690594
SVN,Slovenia,0.0866751974157249
SWE,Sweden,1.05424008112992
SWZ,Swaziland,1.39731750100586
SXM,Sint Maarten (Dutch part),2.95961577064923
SYC,Seychelles,1.62781673596885
SYR,Syrian Arab Republic,-1.44908648614575
TCA,Turks and Caicos Islands,1.75976573683807
TCD,Chad,3.2612971383308
TEA,East Asia & Pacific (IDA & IBRD countries),0.718837490663461
TEC,Europe & Central Asia (IDA & IBRD countries),0.515866289174724
TGO,Togo,2.62731342565296
THA,Thailand,0.344002135509452
TJK,Tajikistan,2.21749915433637
TKM,Turkmenistan,1.24177093670876
TLA,Latin America & the Caribbean (IDA & IBRD countries),1.10016662822312
TMN,Middle East & North Africa (IDA & IBRD countries),1.7531581926435
TLS,Timor-Leste,2.67874104581456
TON,Tonga,0.551579629983902
TSA,South Asia (IDA & IBRD),1.33682035325423
TSS,Sub-Saharan Africa (IDA & IBRD countries),2.73089671877655
TTO,Trinidad and Tobago,0.412957182946369
TUN,Tunisia,1.00614301302097
TUR,Turkey,1.46240495099752
TUV,Tuvalu,0.232217783185864
TZA,Tanzania,3.13018510197334
UGA,Uganda,3.25331364537289
UKR,Ukraine,-0.363732732009162
UMC,Upper middle income,0.782182096308873
URY,Uruguay,0.351449062249819
USA,United States,0.784422625629869
UZB,Uzbekistan,1.74617535675042
VCT,St. Vincent and the Grenadines,0.0932264647864557
VEN,"Venezuela, RB",1.34061294967797
VGB,British Virgin Islands,1.78223202488417
VIR,Virgin Islands (U.S.),-0.573784691898851
VNM,Vietnam,1.06878786563907
VUT,Vanuatu,2.20395332426966
PSE,West Bank and Gaza,2.92469071065949
WLD,World,1.18241780790602
WSM,Samoa,0.718308448795353
YEM,"Yemen, Rep.",2.44670547157781
ZAF,South Africa,1.64800933118317
COD,"Congo, Dem. Rep.",3.14173811307622
ZMB,Zambia,3.07181206708305
ZWE,Zimbabwe,2.3139582032656
