  260,19860101,  -28
  260,19860102,   23
  260,19860103,    9
  260,19860104,    0
  260,19860105,    7
  260,19860106,    8
  260,19860107,  -31
  260,19860108,  -23
  260,19860109,  -41
  260,19860110,   13
  260,19860111,   44
  260,19860112,   53
  260,19860113,   81
  260,19860114,   63
  260,19860115,   44
  260,19860116,   25
  260,19860117,   20
  260,19860118,   57
  260,19860119,   87
  260,19860120,   62
  260,19860121,   64
  260,19860122,   55
  260,19860123,   62
  260,19860124,   32
  260,19860125,   21
  260,19860126,    0
  260,19860127,  -23
  260,19860128,   16
  260,19860129,   18
  260,19860130,    6
  260,19860131,   18
  260,19860201,   20
  260,19860202,   12
  260,19860203,   -6
  260,19860204,  -19
  260,19860205,  -36
  260,19860206,  -40
  260,19860207,  -36
  260,19860208,  -48
  260,19860209,  -88
  260,19860210,  -26
  260,19860211,  -13
  260,19860212,  -16
  260,19860213,  -31
  260,19860214,  -32
  260,19860215,  -29
  260,19860216,  -36
  260,19860217,  -20
  260,19860218,  -29
  260,19860219,  -32
  260,19860220,  -67
  260,19860221,  -84
  260,19860222,  -69
  260,19860223,  -55
  260,19860224,  -56
  260,19860225,  -46
  260,19860226,  -58
  260,19860227,  -50
  260,19860228,  -21
  260,19860301,  -16
  260,19860302,  -22
  260,19860303,  -31
  260,19860304,   -3
  260,19860305,   68
  260,19860306,   45
  260,19860307,   31
  260,19860308,   18
  260,19860309,   16
  260,19860310,   22
  260,19860311,   15
  260,19860312,   23
  260,19860313,   29
  260,19860314,   24
  260,19860315,   47
  260,19860316,   57
  260,19860317,   54
  260,19860318,   93
  260,19860319,   99
  260,19860320,   62
  260,19860321,   48
  260,19860322,   54
  260,19860323,   75
  260,19860324,   53
  260,19860325,   49
  260,19860326,   55
  260,19860327,   93
  260,19860328,   84
  260,19860329,   70
  260,19860330,   45
  260,19860331,   44
  260,19860401,   49
  260,19860402,   37
  260,19860403,   34
  260,19860404,   42
  260,19860405,   42
  260,19860406,   49
  260,19860407,   52
  260,19860408,   50
  260,19860409,   44
  260,19860410,   34
  260,19860411,   -1
  260,19860412,    3
  260,19860413,   20
  260,19860414,   42
  260,19860415,   73
  260,19860416,   88
  260,19860417,   71
  260,19860418,   59
  260,19860419,   56
  260,19860420,   57
  260,19860421,   74
  260,19860422,   88
  260,19860423,   95
  260,19860424,   92
  260,19860425,  108
  260,19860426,  108
  260,19860427,  107
  260,19860428,   97
  260,19860429,   86
  260,19860430,   95
  260,19860501,  133
  260,19860502,  187
  260,19860503,  166
  260,19860504,  128
  260,19860505,  141
  260,19860506,  130
  260,19860507,  127
  260,19860508,  105
  260,19860509,  115
  260,19860510,  136
  260,19860511,  118
  260,19860512,  145
  260,19860513,  128
  260,19860514,  124
  260,19860515,  103
  260,19860516,  108
  260,19860517,  144
  260,19860518,  147
  260,19860519,  144
  260,19860520,  189
  260,19860521,  154
  260,19860522,  129
  260,19860523,  129
  260,19860524,  126
  260,19860525,  147
  260,19860526,  161
  260,19860527,  140
  260,19860528,  108
  260,19860529,  104
