19860101,  -28
19860102,   23
19860103,    9
19860104,    0
19860105,    7
19860106,    8
19860107,  -31
19860108,  -23
19860109,  -41
19860110,   13
19860111,   44
19860112,   53
19860113,   81
19860114,   63
19860115,   44
19860116,   25
19860117,   20
19860118,   57
19860119,   87
19860120,   62
19860121,   64
19860122,   55
19860123,   62
19860124,   32
19860125,   21
19860126,    0
19860127,  -23
19860128,   16
19860129,   18
19860130,    6
19860131,   18
19860201,   20
19860202,   12
19860203,   -6
19860204,  -19
19860205,  -36
19860206,  -40
19860207,  -36
19860208,  -48
19860209,  -88
19860210,  -26
19860211,  -13
19860212,  -16
19860213,  -31
19860214,  -32
19860215,  -29
19860216,  -36
19860217,  -20
19860218,  -29
19860219,  -32
19860220,  -67
19860221,  -84
19860222,  -69
19860223,  -55
19860224,  -56
19860225,  -46
19860226,  -58
19860227,  -50
19860228,  -21
19860301,  -16
19860302,  -22
19860303,  -31
19860304,   -3
19860305,   68
19860306,   45
19860307,   31
19860308,   18
19860309,   16
19860310,   22
19860311,   15
19860312,   23
19860313,   29
19860314,   24
19860315,   47
19860316,   57
19860317,   54
19860318,   93
19860319,   99
19860320,   62
19860321,   48
19860322,   54
19860323,   75
19860324,   53
19860325,   49
19860326,   55
19860327,   93
19860328,   84
19860329,   70
19860330,   45
19860331,   44
19860401,   49
19860402,   37
19860403,   34
19860404,   42
19860405,   42
19860406,   49
19860407,   52
19860408,   50
19860409,   44
19860410,   34
19860411,   -1
19860412,    3
19860413,   20
19860414,   42
19860415,   73
19860416,   88
19860417,   71
19860418,   59
19860419,   56
19860420,   57
19860421,   74
19860422,   88
19860423,   95
19860424,   92
19860425,  108
19860426,  108
19860427,  107
19860428,   97
19860429,   86
19860430,   95
19860501,  133
19860502,  187
19860503,  166
19860504,  128
19860505,  141
19860506,  130
19860507,  127
19860508,  105
19860509,  115
19860510,  136
19860511,  118
19860512,  145
19860513,  128
19860514,  124
19860515,  103
19860516,  108
19860517,  144
19860518,  147
19860519,  144
19860520,  189
19860521,  154
19860522,  129
19860523,  129
19860524,  126
19860525,  147
19860526,  161
19860527,  140
19860528,  108
19860529,  104
19860530,   98
19860531,  109
19860601,  113
19860602,  132
19860603,  122
19860604,   98
19860605,   95
19860606,  102
19860607,   95
19860608,  118
19860609,  168
19860610,  170
19860611,  121
19860612,  127
19860613,  138
19860614,  182
19860615,  216
19860616,  237
19860617,  222
19860618,  156
19860619,  167
19860620,  168
19860621,  152
19860622,  197
19860623,  207
19860624,  153
19860625,  180
19860626,  210
19860627,  230
19860628,  217
19860629,  209
19860630,  223
19860701,  235
19860702,  234
19860703,  206
19860704,  195
19860705,  173
19860706,  160
19860707,  152
19860708,  160
19860709,  155
19860710,  152
19860711,  146
19860712,  134
19860713,  146
19860714,  163
19860715,  192
19860716,  218
19860717,  185
19860718,  154
19860719,  148
19860720,  152
19860721,  172
19860722,  153
19860723,  144
19860724,  136
19860725,  146
19860726,  170
19860727,  189
19860728,  221
19860729,  195
19860730,  173
19860731,  177
19860801,  171
19860802,  178
19860803,  205
19860804,  177
19860805,  152
19860806,  175
19860807,  174
19860808,  152
19860809,  157
19860810,  176
19860811,  172
19860812,  163
19860813,  169
19860814,  198
19860815,  183
19860816,  166
19860817,  159
19860818,  155
19860819,  144
19860820,  135
19860821,  140
19860822,  154
19860823,  136
19860824,  125
19860825,  140
19860826,  148
19860827,  127
19860828,  122
19860829,  123
19860830,  134
19860831,  123
19860901,  129
19860902,  149
19860903,  130
19860904,  125
19860905,  128
19860906,  126
19860907,  121
19860908,  105
19860909,  102
19860910,   84
19860911,   90
19860912,  103
19860913,  114
19860914,  140
19860915,   93
19860916,  106
19860917,  106
19860918,  105
19860919,   92
19860920,  104
19860921,  125
19860922,  138
19860923,  144
19860924,  122
19860925,  105
19860926,   98
19860927,  102
19860928,  109
19860929,  144
19860930,  130
19861001,  124
19861002,  127
19861003,   99
19861004,  108
19861005,  141
19861006,  151
19861007,  152
19861008,  125
19861009,  127
19861010,  142
19861011,  128
19861012,  132
19861013,  119
19861014,  153
19861015,  162
19861016,  124
19861017,   95
19861018,  118
19861019,   95
19861020,   90
19861021,   98
19861022,  105
19861023,   73
19861024,   77
19861025,  100
19861026,   85
19861027,   89
19861028,  123
19861029,  100
19861030,   93
19861031,   91
19861101,  105
19861102,   74
19861103,   76
19861104,   70
19861105,   94
19861106,   88
19861107,   70
19861108,   73
19861109,   56
19861110,  102
19861111,  128
19861112,   83
19861113,  115
19861114,  120
19861115,  100
19861116,   77
19861117,   89
19861118,   83
19861119,  114
19861120,   60
19861121,   58
19861122,   80
19861123,   58
19861124,   89
19861125,  120
19861126,   96
19861127,   64
19861128,   34
19861129,   -6
19861130,    3
19861201,   38
19861202,   83
19861203,   87
19861204,   95
19861205,   91
19861206,   47
19861207,   36
19861208,  102
19861209,   70
19861210,   36
19861211,   34
19861212,   48
19861213,   45
19861214,   25
19861215,   21
19861216,   53
19861217,   60
19861218,   79
19861219,   45
19861220,   39
19861221,   22
19861222,   -2
19861223,   -1
19861224,  -14
19861225,   13
19861226,   29
19861227,   52
19861228,   76
19861229,   96
19861230,   94
19861231,   85
