COU,Value,fillKey
TUR,26.0,30
ITA,38.6,40
GRC,43.5,50
BEL,47.0,50
POL,47.3,50
HUN,47.7,50
CZE,49.5,50
LUX,49.9,50
SVK,50.3,60
FRA,51.7,60
ESP,52.0,60
LTU,52.0,60
DEU,52.9,60
SVN,53.6,60
AUT,54.0,60
IRL,54.0,60
LVA,54.5,60
PRT,55.6,60
GBR,56.6,60
NLD,58.9,60
DNK,60.6,70
CHE,61.6,70
EST,62.1,70
FIN,64.7,70
SWE,67.6,70
NOR,69.8,70
ISL,77.1,80
