COU,Value,fillKey
TUR,30.3,40
ITA,40.5,50
GRC,44.1,50
BEL,48.1,50
POL,48.5,50
CZE,50.9,60
SVK,51.1,60
FRA,51.8,60
HUN,52.1,60
SVN,52.2,60
IRL,52.6,60
LUX,53.4,60
LVA,53.4,60
ESP,53.7,60
PRT,53.8,60
LTU,53.9,60
DEU,54.8,60
AUT,55.3,60
GBR,57.6,60
DNK,58.1,60
NLD,58.5,60
CHE,62.6,70
EST,63.4,70
FIN,63.4,70
NOR,68.3,70
SWE,69.1,70
ISL,78.2,80
