COU,Value,fillKey
TUR,23.6,30
ITA,37.9,40
GRC,42.4,50
POL,46.3,50
BEL,46.5,50
HUN,47.8,50
ESP,49.5,50
CZE,49.8,50
LTU,50.2,60
LUX,50.4,60
SVK,50.5,60
FRA,51.1,60
DEU,52.4,60
AUT,52.8,60
LVA,53.1,60
SVN,53.3,60
IRL,54.7,60
PRT,56.0,60
GBR,56.2,60
NLD,57.6,60
CHE,59.9,60
DNK,60.7,70
EST,60.8,70
FIN,65.1,70
SWE,68.3,70
NOR,69.5,70
ISL,78.6,80
