COU,Value,fillKey
TUR,23.6,30
ITA,38.2,40
GRC,42.4,50
BEL,45.8,50
POL,46.6,50
HUN,48.2,50
ESP,48.5,50
LUX,49.4,50
LTU,50.2,60
CZE,50.6,60
SVK,50.7,60
FRA,50.8,60
AUT,52.0,60
DEU,52.0,60
LVA,52.2,60
IRL,53.1,60
SVN,53.3,60
PRT,55.5,60
NLD,56.3,60
GBR,56.6,60
CHE,59.8,60
DNK,60.9,70
EST,61.4,70
FIN,64.6,70
NOR,68.3,70
SWE,69.0,70
ISL,78.5,80
