COU,Value,fillKey
TUR,23.3,30
ITA,38.5,40
GRC,42.0,50
BEL,44.5,50
LUX,45.4,50
ESP,45.7,50
HUN,47.0,50
POL,47.8,50
DEU,49.8,50
IRL,49.8,50
AUT,50.4,60
CZE,50.5,60
FRA,50.6,60
LVA,51.3,60
LTU,51.5,60
SVK,52.5,60
SVN,52.5,60
PRT,54.5,60
NLD,55.1,60
GBR,55.7,60
EST,59.0,60
CHE,59.1,60
DNK,60.7,70
FIN,63.3,70
SWE,67.9,70
NOR,68.8,70
ISL,76.3,80
