COU,Value,fillKey
TUR,27.6,30
ITA,38.6,40
GRC,44.1,50
POL,47.6,50
BEL,47.7,50
HUN,48.8,50
CZE,49.3,50
LUX,49.8,50
FRA,51.7,60
SVK,51.8,60
LTU,52.5,60
ESP,52.7,60
DEU,53.2,60
SVN,53.3,60
IRL,53.4,60
LVA,53.9,60
AUT,54.2,60
PRT,55.9,60
GBR,56.6,60
NLD,58.9,60
DNK,59.8,60
CHE,60.8,70
EST,62.6,70
FIN,63.7,70
SWE,67.1,70
NOR,68.7,70
ISL,77.6,80
