COU,Value,fillKey
TUR,23.3,30
ITA,38.1,40
GRC,42.1,50
BEL,45.7,50
LUX,46.3,50
ESP,47.0,50
POL,47.7,50
HUN,47.8,50
CZE,50.6,60
FRA,50.7,60
LVA,50.7,60
LTU,50.8,60
DEU,51.1,60
AUT,51.3,60
SVK,51.3,60
IRL,51.9,60
SVN,52.9,60
PRT,55.3,60
NLD,55.8,60
GBR,55.9,60
CHE,59.3,60
EST,59.8,60
DNK,60.4,70
FIN,64.2,70
NOR,68.7,70
SWE,68.8,70
ISL,77.8,80
