COU,Value,fillKey
TUR,29.5,30
ITA,40.1,50
GRC,44.0,50
BEL,47.1,50
POL,48.1,50
CZE,50.0,60
HUN,50.2,60
SVK,50.7,60
FRA,51.8,60
LUX,51.9,60
SVN,52.2,60
IRL,52.8,60
LTU,53.2,60
DEU,54.0,60
ESP,54.0,60
LVA,54.3,60
PRT,54.7,60
AUT,55.0,60
GBR,56.8,60
DNK,59.1,60
NLD,59.5,60
CHE,61.2,70
EST,63.6,70
FIN,63.8,70
SWE,68.3,70
NOR,68.6,70
ISL,77.7,80
