COU,Value,fillKey
TUR,26.6,30
ITA,37.1,40
GRC,40.8,50
BEL,43.6,50
LUX,43.7,50
ESP,44.4,50
HUN,46.9,50
POL,48.0,50
IRL,49.3,60
DEU,49.5,60
SVN,50.0,60
FRA,50.4,60
CZE,50.8,60
LVA,50.8,60
AUT,51.1,60
LTU,52.8,60
SVK,52.9,60
NLD,54.5,60
PRT,54.6,60
GBR,55.3,60
EST,58.6,60
CHE,59.5,60
DNK,59.8,60
FIN,63.4,70
SWE,68.1,70
NOR,69.0,70
ISL,78.3,80
