COU,Value,fillKey
TUR,26.6,30
ITA,35.8,40
GRC,40.3,50
ESP,41.3,50
LUX,41.4,50
BEL,43.4,50
HUN,45.5,50
IRL,47.8,50
AUT,49.0,50
DEU,49.1,50
FRA,49.1,50
LVA,49.4,50
POL,49.7,50
SVN,51.5,60
CZE,51.6,60
SVK,52.6,60
PRT,52.9,60
NLD,53.7,60
LTU,54.4,60
GBR,54.9,60
CHE,57.6,60
EST,58.3,60
DNK,60.1,70
FIN,63.3,70
SWE,67.5,70
NOR,68.9,70
ISL,77.4,80
