COU,Value,fillKey
TUR,27.1,30
ITA,36.4,40
GRC,39.5,40
ESP,40.3,50
BEL,42.3,50
LUX,42.4,50
HUN,45.4,50
IRL,48.2,50
FRA,48.9,50
DEU,49.3,50
AUT,49.5,50
POL,49.5,50
LVA,50.1,60
CZE,51.3,60
SVN,51.6,60
LTU,53.0,60
SVK,53.0,60
PRT,53.5,60
NLD,53.8,60
GBR,54.9,60
EST,58.1,60
CHE,58.8,60
DNK,60.5,70
FIN,63.6,70
SWE,68.2,70
NOR,69.2,70
ISL,77.3,80
