COU,Value,fillKey
TUR,27.9,30
ITA,36.8,40
GRC,40.1,50
ESP,42.7,50
BEL,43.2,50
LUX,43.5,50
HUN,45.8,50
POL,48.6,50
IRL,49.0,50
FRA,49.1,50
DEU,49.4,50
AUT,50.5,60
LVA,50.5,60
CZE,51.0,60
SVN,51.1,60
LTU,52.5,60
SVK,52.6,60
PRT,54.2,60
NLD,55.0,60
GBR,55.4,60
EST,57.4,60
CHE,59.3,60
DNK,60.1,70
FIN,64.0,70
SWE,68.2,70
NOR,69.7,70
ISL,76.7,80
